"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01","yandex","cpc","freemium","130","21654","101","25","1654810"
"2023-06-01","yandex","cpc","prof-frontend","96","57138","74","12","1057000"
"2023-06-01","yandex","cpc","prof-python","82","33026","65","8","680246"
"2023-06-01","yandex","cpc","base-python","37","12524","28","7","476021"
"2023-06-01","vk","cpc","prof-python","97","2028","40","5","355564"
"2023-06-01","vk","cpc","freemium-frontend","126","3160","44","5","338083"
"2023-06-01","yandex","cpc","prof-java","61","29490","49","4","284590"
"2023-06-01","yandex","cpc","base-frontend","54","18061","41","3","268515"
"2023-06-01","vk","cpc","prof-java","82","3115","24","2","232726"
"2023-06-01","yandex","cpc","prof-data-analytics","17","10086","14","2","220264"
"2023-06-01","yandex","cpc","prof-professions-brand","24","4818","13","3","154287"
"2023-06-20","telegram","cpp","base-java","3","0","1","1","151192"
"2023-06-01","yandex","cpc","dod-php","6","5964","4","1","150255"
"2023-06-01","yandex","cpc","base-professions-retarget","4","151","4","1","134100"
"2023-06-25","admitad","cpa","admitad","79","0","1","1","134100"
